,Rank-PCA,Corr-PCA,Corr-Weighted
BBKNN,0.5565723094819637,0.666521886386873,0.6898861006657622
Harmony,0.6325068151005349,0.7455266231517271,0.7262389160236772
Provided_x_scanvi_emb,0.3620533119599134,0.6403430764007565,0.5992361098936274
Provided_x_umap,0.5427853152454126,0.6391963086732239,0.6652168796261054
Scanorama,0.6556284391220193,0.7809783152141264,0.74945184218577
X_pca,0.7260006008824645,0.8336719096239535,0.8054892646539925
X_scANVI,0.4685784403950564,0.69158355079398,0.6645481977359752
X_scVI,0.3781593976996603,0.6047324059110402,0.559186406004497
X_tsne,0.3751132221169736,0.49510320066552665,0.5206096243986322
X_umap,0.47479628251783396,0.5838155729775487,0.5932947438447949
scGen,0.6303520398646303,0.7731980517172379,0.7201274464746682
scPoli,0.6810088727142352,0.8149359497866032,0.8218137090027244
